outcome,model,term,coef,std_err,t,p_value,nobs,r2,adj_r2
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_traditional:z_annual_mean_covid_overall_exposure_main_hcr,0.017966503772082663,0.02123229140257461,0.8461876973817372,0.39744804394475375,838,0.07957604956378628,0.0718134379336014
ROA_annual_mean,C3_traditional_x_covid_exposure_2020_2022,z_log_assets,-0.0014822504885013308,0.03241480911297558,-0.045727571102924955,0.9635273882272951,838,0.07957604956378628,0.0718134379336014
ROA_annual_mean,C4_both_interactions_2020_2022,z_traditional,0.06614340476604129,0.03024743544131695,2.1867442247910938,0.02876120118259317,838,0.08394368133373198,0.0751035721065545
ROA_annual_mean,C4_both_interactions_2020_2022,z_ai,-0.05930968784218207,0.03695876528152433,-1.604752956177109,0.10854818269779186,838,0.08394368133373198,0.0751035721065545
ROA_annual_mean,C4_both_interactions_2020_2022,z_annual_mean_covid_overall_exposure_main_hcr,-0.038656313669433326,0.034074414725786234,-1.1344674290232102,0.2565985287111848,838,0.08394368133373198,0.0751035721065545
ROA_annual_mean,C4_both_interactions_2020_2022,z_ai:z_annual_mean_covid_overall_exposure_main_hcr,-0.06619261740468889,0.04021969537345994,-1.6457761996966263,0.09980984408227676,838,0.08394368133373198,0.0751035721065545
ROA_annual_mean,C4_both_interactions_2020_2022,z_traditional:z_annual_mean_covid_overall_exposure_main_hcr,0.03141881303968937,0.025261169155017804,1.2437592593947073,0.2135881787500662,838,0.08394368133373198,0.0751035721065545
ROA_annual_mean,C4_both_interactions_2020_2022,z_log_assets,-0.004133290221564804,0.032421168946504424,-0.12748739036475876,0.8985546527776139,838,0.08394368133373198,0.0751035721065545
StockReturn_annual_compound_w,M1_traditional_yearFE,z_traditional,-0.0021874644500648175,0.017912885514289132,-0.12211681073492454,0.9028065084793411,2018,0.4679856292844836,0.4658671051601809
StockReturn_annual_compound_w,M1_traditional_yearFE,z_log_assets,0.02685018564118302,0.016843018817483922,1.5941433024649443,0.11090394203279656,2018,0.4679856292844836,0.4658671051601809
StockReturn_annual_compound_w,M2_ai_yearFE,z_ai,0.04396487801283926,0.017006598792319194,2.5851658259084362,0.009733217296123305,2018,0.46974560027666457,0.46763408449877175
StockReturn_annual_compound_w,M2_ai_yearFE,z_log_assets,0.014631101036666068,0.017700832269160416,0.8265770114186868,0.40847685164226777,2018,0.46974560027666457,0.46763408449877175
StockReturn_annual_compound_w,M3_both_yearFE,z_traditional,-0.01457053020366017,0.01761143565360673,-0.8273334718556123,0.40804807703566703,2018,0.46993965970613594,0.4675638912486435
StockReturn_annual_compound_w,M3_both_yearFE,z_ai,0.04801770079816168,0.016668344073640276,2.880772114255671,0.003967023504302137,2018,0.46993965970613594,0.4675638912486435
StockReturn_annual_compound_w,M3_both_yearFE,z_log_assets,0.012767865210231901,0.01797539996882882,0.7102965849089692,0.4775202371429407,2018,0.46993965970613594,0.4675638912486435
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_traditional,0.01929744877794927,0.025146529216460142,0.7674000897633919,0.44284367518356793,836,0.5420285120452808,0.5387138812518812
StockReturn_annual_compound_w,C1_covid_exposure_2020_2022,z_ai,0.07137818870280706,0.026494905874559903,2.6940344321563927,0.007059287167351374,836,0.5420285120452808,0.5387138812518812
